80
0 24 62 31 35 80 87 15 77 83 41 74 23 80 5 7 90 5 24 61 22 80 66 98 28 55 98 11 34 50 24 65 0 60 62 47 94 58 12 14 53 92 7 62 2 72 20 8 86 95 93 96 98 66 90 17 37 80 41 12 8 49 14 28 95 30 57 87 78 19 85 46 63 29 24 22 8 32 56 39 
24 0 83 27 19 25 25 99 94 50 44 1 39 48 88 80 86 25 18 22 68 61 86 99 73 82 46 94 70 53 0 30 70 65 55 1 71 75 8 80 89 94 49 99 48 33 59 15 52 60 32 19 83 66 57 65 22 94 88 29 53 77 92 57 34 73 65 67 36 89 36 61 88 75 16 8 57 54 79 43 
62 83 0 44 83 45 41 34 41 22 43 15 13 87 17 39 32 28 10 82 10 2 2 61 20 96 52 12 39 4 60 78 49 86 47 96 72 19 5 62 76 22 10 55 33 87 53 54 37 3 53 22 40 25 24 31 59 61 4 22 56 91 26 10 34 47 93 25 94 22 25 20 55 2 74 39 79 67 84 13 
31 27 44 0 30 11 25 27 82 85 99 60 65 70 60 89 36 6 23 15 31 38 96 6 63 51 70 52 18 6 2 35 26 40 47 77 90 43 42 88 88 23 16 79 62 85 12 5 7 36 45 61 73 79 60 36 56 35 39 36 5 49 96 66 62 61 35 47 83 80 53 77 1 6 94 95 58 33 8 31 
35 19 83 30 0 35 56 64 19 5 38 72 20 59 84 86 9 58 98 47 3 31 0 92 38 39 12 60 26 69 79 17 28 9 75 83 78 65 19 99 70 34 39 3 1 47 59 73 23 85 64 53 60 91 43 22 72 65 54 99 92 63 5 26 64 91 71 42 49 56 83 72 87 69 46 17 12 84 56 72 
80 25 45 11 35 0 85 47 42 85 4 84 7 9 62 89 73 76 25 52 35 1 46 19 24 14 58 1 75 17 66 76 2 3 69 43 43 80 49 4 57 86 3 94 40 83 25 4 88 2 90 79 11 32 86 10 96 38 61 12 83 50 82 2 73 46 71 78 48 70 44 92 52 12 30 57 90 64 51 7 
87 25 41 25 56 85 0 1 12 11 70 86 36 48 28 20 63 98 56 97 85 82 53 59 15 80 35 72 85 44 83 16 7 60 5 86 15 14 65 33 18 15 94 61 55 22 94 90 36 24 14 6 15 79 97 6 88 30 53 46 35 61 6 61 49 78 41 79 66 86 90 55 11 53 70 48 47 54 9 58 
15 99 34 27 64 47 1 0 2 77 8 94 90 50 48 46 22 62 35 30 42 33 49 6 23 67 79 64 70 59 87 46 48 90 58 97 83 48 55 97 21 79 36 71 0 61 94 24 12 44 90 24 18 13 70 82 78 55 10 97 69 77 89 53 99 48 39 71 5 34 67 77 99 46 35 67 75 58 45 91 
77 94 41 82 19 42 12 2 0 76 46 49 32 58 49 26 84 39 92 9 14 65 80 65 12 78 67 80 23 69 67 99 30 63 54 31 95 12 39 74 3 29 10 2 28 42 20 25 82 33 44 23 62 80 17 25 18 19 40 39 0 1 99 70 99 98 29 59 67 58 86 86 83 18 71 11 67 5 42 94 
83 50 22 85 5 85 11 77 76 0 60 62 68 96 55 59 5 42 80 55 84 36 42 93 98 46 6 60 59 71 46 18 99 59 62 63 96 48 64 54 24 46 34 42 64 29 88 48 0 30 61 74 99 17 30 98 77 67 83 46 52 2 83 9 64 99 21 60 19 8 47 23 49 71 81 88 52 24 91 79 
41 44 43 99 38 4 70 8 46 60 0 42 77 93 95 41 72 62 49 22 2 24 15 76 70 65 77 33 27 31 25 35 47 94 64 24 48 28 76 40 31 9 78 67 77 64 7 98 86 68 2 13 22 15 23 77 11 28 88 96 99 50 22 55 52 53 33 22 38 91 6 51 92 57 14 24 37 0 87 60 
