100
0 35 59 76 65 29 24 50 74 5 26 14 58 58 23 0 4 45 33 61 16 86 90 46 11 7 40 18 37 24 21 11 87 94 6 36 61 98 59 16 64 97 23 58 26 14 96 42 85 99 84 95 21 81 35 38 62 73 77 33 52 97 12 81 11 86 86 99 8 84 72 0 81 7 72 34 16 25 17 95 73 13 45 27 42 61 39 50 22 20 11 94 28 85 19 10 17 44 94 9 
35 0 41 2 36 64 1 54 10 26 27 70 24 40 92 97 75 99 95 14 5 86 73 69 53 41 53 3 84 98 16 92 53 14 63 55 61 38 68 3 15 16 82 6 92 42 44 71 51 27 37 35 97 59 91 88 46 63 91 86 47 26 84 60 64 54 78 42 36 46 67 24 20 68 27 60 33 41 98 58 4 50 45 8 48 96 58 6 66 27 43 6 96 42 61 60 18 67 7 95 
59 41 0 37 66 59 53 71 79 50 61 9 88 12 3 92 65 28 76 2 68 64 91 33 64 44 32 84 86 59 22 0 46 19 42 2 55 63 94 49 87 53 43 20 32 86 44 22 21 70 60 80 32 19 73 15 82 13 34 8 49 72 20 97 95 62 52 89 45 68 27 91 50 72 66 13 9 61 39 80 8 57 39 80 78 80 85 95 97 49 60 34 74 5 77 39 78 92 19 78 
76 2 37 0 95 62 2 57 78 29 24 7 55 51 97 54 36 95 54 78 97 1 26 66 95 58 21 79 66 9 65 47 33 6 95 86 47 53 3 19 65 84 7 62 63 54 63 35 29 81 55 66 17 7 86 90 83 76 4 71 10 13 34 5 21 69 54 92 15 60 54 59 83 8 69 31 77 37 85 65 45 64 0 0 73 56 19 68 29 26 3 74 60 93 5 71 55 75 21 60 
65 36 66 95 0 33 99 70 53 40 86 58 96 29 73 68 83 35 83 8 76 82 39 21 44 48 59 56 33 85 83 67 85 18 76 22 75 98 42 72 77 97 4 67 87 59 97 4 98 54 7 33 2 2 53 92 55 46 57 14 66 50 80 18 12 24 10 33 43 49 39 88 87 21 58 48 99 37 36 91 80 68 53 35 36 36 53 42 57 86 88 10 26 61 4 34 39 74 89 62 
29 64 59 62 33 0 22 64 20 4 80 44 73 42 68 38 59 84 40 78 8 70 81 57 61 39 81 28 54 85 4 72 12 65 46 89 80 74 28 40 85 4 65 56 8 92 47 36 48 41 44 53 6 80 55 13 35 74 55 3 64 95 53 89 13 12 59 30 67 94 70 47 97 1 76 9 65 27 71 11 72 81 82 76 47 28 18 57 23 40 40 61 22 66 23 17 42 91 79 9 
24 1 53 2 99 22 0 9 70 16 57 20 92 12 22 57 30 86 66 38 18 57 92 24 99 39 67 22 31 28 16 65 95 5 31 60 59 81 76 10 90 28 82 97 78 33 48 44 19 76 72 85 77 85 19 76 86 1 70 91 7 5 28 35 93 23 47 84 64 64 81 29 48 51 61 89 59 49 39 86 93 40 7 2 76 77 85 92 82 76 97 82 19 44 10 60 31 32 45 25 
50 54 71 57 70 64 9 0 5 91 38 0 96 23 56 37 16 44 10 76 45 58 10 34 88 55 5 20 22 18 9 47 80 49 16 3 21 52 30 45 66 76 88 63 25 22 11 59 80 70 47 84 75 12 43 3 20 29 64 18 98 25 14 1 96 17 79 29 47 49 24 78 48 57 81 13 27 61 1 24 30 52 38 96 23 60 25 23 97 75 60 1 84 44 32 14 0 40 3 65 
74 10 79 78 53 20 70 5 0 10 27 26 4 68 69 85 73 83 34 31 1 39 81 95 78 69 10 0 61 79 74 4 27 80 50 55 62 2 89 8 85 49 38 20 37 5 31 70 22 85 94 76 73 63 61 80 4 0 32 26 11 66 0 35 40 79 88 3 65 74 70 87 81 36 61 91 50 70 1 61 82 20 90 93 23 74 45 79 47 80 57 58 84 22 33 17 14 60 71 21 
5 26 50 29 40 4 16 91 10 0 77 8 79 35 98 22 10 58 67 45 59 92 47 23 81 78 50 80 91 64 10 15 66 77 39 57 26 18 73 61 31 63 50 64 88 80 2 33 75 64 66 59 13 89 19 58 70 33 51 37 2 36 1 70 98 68 40 6 11 5 24 54 61 48 3 38 40 8 39 56 5 46 70 4 37 96 27 79 11 14 35 48 35 93 31 50 94 39 97 95 
