100
0 2 19 68 94 28 22 25 76 36 37 61 84 50 62 84 54 93 75 72 14 66 59 76 6 51 89 21 9 38 17 60 42 14 34 25 53 15 7 39 52 79 12 51 38 52 73 58 58 46 18 2 63 29 93 54 47 6 37 64 44 0 99 24 57 38 17 97 22 43 58 36 31 14 38 33 54 25 42 24 19 23 93 8 61 28 49 67 62 87 42 33 40 80 10 69 56 5 23 79 
2 0 28 40 12 57 32 73 25 63 96 86 64 1 28 53 40 17 32 26 11 89 20 70 35 5 63 15 52 49 48 75 54 35 79 71 10 25 49 72 84 95 59 75 25 7 45 74 98 84 14 20 47 8 26 42 35 43 59 65 43 53 14 1 76 71 17 41 41 17 97 31 93 8 17 64 78 57 87 53 20 32 75 41 74 17 45 98 42 93 51 74 63 37 35 27 4 38 9 61 
19 28 0 11 88 52 8 81 85 77 59 22 70 27 88 69 61 81 1 33 1 86 73 64 74 40 44 3 25 89 16 23 38 18 43 59 48 48 61 40 82 25 40 15 88 51 64 93 60 16 81 21 32 16 67 26 22 51 28 96 30 23 91 44 58 63 39 99 41 83 46 69 69 64 2 79 75 61 79 34 45 62 32 3 86 40 28 0 32 38 1 59 1 39 9 5 96 75 46 99 
68 40 11 0 40 83 5 46 3 88 61 29 97 96 11 6 94 19 13 20 0 85 32 42 88 81 86 56 88 52 98 70 31 75 27 37 97 2 75 51 92 98 33 27 6 22 46 3 1 42 51 99 65 79 23 5 91 82 83 63 71 71 23 24 42 60 19 57 10 20 23 94 85 4 65 66 97 29 78 77 85 81 16 34 5 49 80 49 70 5 2 78 87 57 31 74 75 27 20 99 
94 12 88 40 0 49 80 66 90 30 56 5 33 75 25 91 26 32 87 2 50 76 7 25 29 86 59 43 39 75 37 34 84 76 32 38 2 85 27 87 92 5 96 97 8 9 41 92 65 34 78 97 20 10 6 83 60 85 75 3 65 28 88 82 67 12 48 54 54 72 56 61 4 45 37 79 93 75 43 38 10 90 60 44 41 84 30 91 19 39 3 36 45 10 44 81 11 98 98 58 
28 57 52 83 49 0 44 97 42 30 60 4 77 81 10 86 68 2 55 40 19 18 56 14 72 27 48 48 13 98 27 61 29 59 32 30 99 53 74 25 13 56 72 56 64 63 28 50 61 28 44 82 50 65 29 60 25 80 49 9 29 8 50 58 72 92 28 66 81 83 45 82 16 20 0 77 57 43 54 55 90 94 43 30 90 99 53 15 43 11 51 97 43 78 74 89 3 10 28 54 
22 32 8 5 80 44 0 16 23 90 60 5 99 13 47 1 40 96 27 21 80 22 23 46 45 87 26 22 78 15 23 63 57 65 23 42 29 96 84 38 0 81 44 84 49 80 82 82 67 30 68 73 13 51 93 87 97 25 22 47 15 56 57 68 93 9 34 45 92 40 23 44 37 64 46 65 77 19 90 88 36 73 49 20 54 62 19 49 31 5 65 84 84 6 79 78 83 10 81 75 
25 73 81 46 66 97 16 0 76 28 6 23 38 34 6 3 37 48 4 11 79 36 69 22 11 34 91 26 87 93 16 71 88 46 15 43 81 6 4 89 24 48 84 29 76 6 51 27 74 30 98 66 83 48 10 90 75 71 16 71 88 58 80 61 15 6 66 13 51 16 60 4 77 33 67 5 94 1 56 99 54 92 55 66 44 61 5 70 54 38 54 38 0 92 58 51 71 27 25 82 
76 25 85 3 90 42 23 76 0 85 18 43 14 18 87 54 16 62 34 12 52 16 16 16 0 19 44 12 77 2 97 79 39 16 80 41 35 46 70 82 33 58 4 29 84 69 23 57 16 96 20 16 66 67 8 17 24 60 85 24 39 1 71 40 3 41 56 38 6 86 89 23 74 16 12 35 7 97 5 4 48 24 76 55 92 97 17 23 33 88 0 61 6 70 3 23 39 75 84 32 
36 63 77 88 30 30 90 28 85 0 64 55 63 16 20 66 46 79 35 7 51 91 55 3 53 72 57 73 6 14 92 26 38 77 31 32 89 44 29 22 54 66 53 58 25 83 80 97 46 62 10 1 76 54 39 4 24 94 98 4 0 96 33 22 60 70 7 16 98 67 87 62 91 55 25 56 33 54 40 18 80 58 49 73 52 66 65 71 1 41 78 56 86 97 10 3 2 14 21 50 
