60
0 33 64 34 36 60 78 34 71 82 68 66 49 96 46 32 35 64 35 82 58 50 40 57 47 59 11 15 18 74 33 13 26 46 55 42 70 57 46 61 28 96 51 44 52 21 48 82 34 69 72 51 32 9 32 46 41 28 48 50 
33 0 83 67 45 71 105 66 101 104 76 92 73 116 75 9 41 76 19 111 78 57 69 68 66 92 33 48 16 97 66 40 58 51 51 29 77 90 63 94 40 122 83 39 83 52 75 98 49 101 96 84 24 34 54 79 55 33 71 71 
64 83 0 65 40 20 31 70 45 23 28 22 19 32 34 76 44 18 68 46 6 33 35 22 17 57 56 59 71 18 56 51 67 38 49 64 28 68 20 75 44 45 49 53 42 70 28 19 34 53 18 72 62 72 33 60 29 50 18 15 
34 67 65 0 58 71 65 5 48 74 82 56 47 91 33 67 59 74 68 61 61 68 31 69 54 30 39 20 52 66 10 35 10 67 79 73 83 23 55 27 51 80 26 71 32 17 39 84 51 43 64 17 64 34 41 15 56 56 48 51 
36 45 40 58 0 27 66 61 69 62 33 54 35 72 44 36 4 32 29 76 34 14 40 23 24 69 26 41 34 56 51 26 54 10 21 25 34 74 20 80 8 82 59 16 55 53 42 54 9 73 55 73 22 45 20 62 11 12 32 31 
60 71 20 71 27 0 51 76 62 42 11 41 29 47 45 63 31 5 54 65 17 15 43 4 18 71 50 59 61 38 62 47 71 22 30 48 12 80 17 87 34 64 62 36 55 72 40 28 26 69 38 82 48 68 31 70 19 39 26 23 
78 105 31 65 66 51 0 70 22 15 58 13 32 31 34 99 70 49 93 16 34 62 39 52 42 43 73 68 90 13 56 67 71 67 79 91 59 56 46 63 67 18 40 81 33 76 31 38 58 33 13 64 87 85 51 53 55 74 35 35 
34 66 70 5 61 76 70 0 53 79 86 61 52 96 39 67 62 79 69 66 66 72 36 73 59 35 41 21 52 71 15 37 9 70 82 75 87 26 59 28 54 86 31 73 37 15 44 89 54 47 70 18 65 33 45 19 60 58 53 56 
71 101 45 48 69 62 22 53 0 36 72 23 35 53 26 96 72 62 93 12 45 70 32 62 48 22 68 57 85 32 42 61 56 73 86 93 72 35 51 41 67 34 22 85 18 63 27 57 60 10 31 44 87 75 50 35 60 75 39 41 
82 104 23 74 62 42 15 79 36 0 48 18 33 18 41 97 66 39 91 31 28 55 45 44 38 56 74 73 91 8 64 69 78 61 72 87 48 69 42 76 65 22 51 76 44 83 36 24 56 47 10 75 84 89 51 64 51 72 34 33 
68 76 28 82 33 11 58 86 72 48 0 50 40 49 55 67 36 10 58 73 27 19 54 13 28 81 58 69 67 45 73 56 81 25 29 50 1 91 27 98 41 70 72 38 66 81 50 29 35 79 45 93 52 77 41 80 27 44 37 33 
66 92 22 56 54 41 13 61 23 18 50 0 19 36 23 86 57 40 81 24 24 51 28 42 30 39 60 56 78 11 47 54 60 55 68 78 50 52 34 58 54 30 33 69 26 65 19 35 45 32 9 58 74 73 38 46 43 62 22 23 
49 73 19 47 35 29 32 52 35 33 40 19 0 47 16 67 38 30 61 41 15 34 16 28 13 42 42 41 59 25 37 36 49 38 51 59 40 51 16 59 35 49 33 50 26 52 11 37 26 41 23 54 55 56 19 42 25 42 3 6 
96 116 32 91 72 47 31 96 53 18 49 36 47 0 58 108 76 43 100 46 38 62 61 50 50 73 88 89 103 25 82 83 95 68 76 95 49 87 53 93 76 30 69 83 61 99 53 20 67 64 27 93 94 104 64 82 61 83 48 46 
46 75 34 33 44 45 34 39 26 41 55 23 16 58 0 70 47 46 67 36 30 48 6 44 28 26 42 34 60 33 24 35 38 50 63 67 56 35 30 42 41 51 17 60 11 43 6 52 35 28 31 39 61 51 24 26 37 49 19 22 
32 9 76 67 36 63 99 67 96 97 67 86 67 108 70 0 33 68 10 106 70 48 65 59 59 89 29 47 14 90 64 36 58 42 42 20 68 89 56 93 32 116 80 30 79 53 70 90 42 97 89 84 15 35 48 77 47 25 64 65 
35 41 44 59 4 31 70 62 72 66 36 57 38 76 47 33 0 35 25 80 38 17 43 27 28 72 24 41 31 60 52 26 54 11 20 21 37 76 24 82 8 86 62 13 58 53 45 57 13 76 59 74 18 43 23 64 15 8 35 35 
64 76 18 74 32 5 49 79 62 39 10 40 30 43 46 68 35 0 59 63 17 20 45 8 20 72 54 63 66 36 65 51 74 26 34 52 11 81 20 88 38 61 63 40 56 75 41 23 30 69 35 84 53 73 35 72 23 43 27 24 
35 19 68 68 29 54 93 69 93 91 58 81 61 100 67 10 25 59 0 102 63 39 61 51 52 88 29 48 19 84 64 34 60 33 33 10 59 89 49 94 26 110 79 20 77 56 66 82 35 94 83 85 6 40 43 77 39 19 58 58 
82 111 46 61 76 65 16 66 12 31 73 24 41 46 36 106 80 63 102 0 48 74 42 66 53 34 78 69 96 29 54 71 69 79 91 101 74 47 57 53 75 22 35 91 30 75 36 54 67 21 29 56 95 87 58 47 66 83 45 46 
58 78 6 61 34 17 34 66 45 28 27 24 15 38 30 70 38 17 63 48 0 28 31 18 11 55 50 54 65 22 51 45 62 33 45 59 28 66 14 73 38 49 47 48 40 65 25 24 28 52 21 69 56 67 27 57 24 45 13 10 
50 57 33 68 14 15 62 72 70 55 19 51 34 62 48 48 17 20 39 74 28 0 45 12 21 74 39 53 48 50 60 38 65 6 17 33 21 81 18 88 22 77 64 21 59 65 44 43 18 75 50 81 33 58 27 70 12 25 31 29 
40 69 35 31 40 43 39 36 32 45 54 28 16 61 6 65 43 45 61 42 31 45 0 42 26 30 36 29 54 37 21 29 34 46 60 62 55 37 28 44 36 56 20 55 16 38 9 53 30 33 35 39 55 46 19 26 33 44 18 21 
57 68 22 69 23 4 52 73 62 44 13 42 28 50 44 59 27 8 51 66 18 12 42 0 16 70 46 57 57 40 60 44 68 18 27 45 14 79 15 86 30 66 61 33 55 69 39 31 23 69 39 80 45 65 29 68 16 35 25 22 
47 66 17 54 24 18 42 59 48 38 28 30 13 50 28 59 28 20 52 53 11 21 26 16 0 54 38 44 53 32 45 34 54 25 38 49 29 62 4 69 27 58 45 39 39 56 23 35 17 54 31 64 46 56 16 52 13 34 10 7 
